NONE	M	The order was filled quickly and correctly. No problems at all, highly recommended.
NONE	M	I found the parts I was looking for much cheaper than at major part dealer sites. The delivery was fast and the part fit perfectly. Great service. No complaints. You will definitely get more of my business and I will gladly recommend you to friends!
NONE	M	Camicia non conforme rispetto all'ordine  : sbagliate le cuciture dei bottoni.
NONE	F	This is the greatest thing, Once a month Petflow sends a box of "goodies" for your pet . Charlotte my ShihTzu got her first one on December 22nd just in time for Christmas .  She got an adorable cow toy,  some treats shes never tried before but seemed to like all of them. And some teeth cleaner that doesn't involve brushing. I dont know whos more excited about next month's package Charlotte or me...
NONE	M	Honesty and sincerity are very important to have and I think that they have both. I would definitely recommend them.
NONE	F	One Product to big for being a med. and the color was not what was expected.
50	F	Used this site many times.  I always start mysearch here. Prices change daily and if you want to really research the price continually at many different sites, I have found cheaper cars elsewhere.  However, if you don't have a lot of time to research the price, this site has always been among the top three (e.g., cheapest) of the ten sites I use to reserve a car.
NONE	F	Very unsatisfied with product. It was shipped with multiple wrong parts. It took months to resolve. They stopped answering my calls to get the right parts so i had to call credit card Company to get a credit before they finally responded. I wish I would have read thier reviews online prior to buying.
NONE	M	Det rigtige til tiden
NONE	M	We were very happy to find out, that we also could take as many river cruises as we liked in the period of the ticket.
21	M	I've already purchased like 4 or 5 times in PCGameSupply PSN Cards, always they're almost Instant Issued to my account - orders before I notice...
NONE	M	Got my labels quickly, and they look fantastic. Thanks!
NONE	M	I have just sold my I-phone to envirophone and I am glad to say got a good price and excellent service. I will certainly use them again and recommend  them to you if you have a spare phone to dispose of if you have just upgraded. Give them a try what have you got to lose?
NONE	F	Well structured website, helpful with good reviews and videos.
NONE	F	I have 5 dogs and I like to order toys for them.  None of the 5 were interested in your Gumby Toy.  How have other dogs reacted to Gumby?
NONE	F	I have used easytobook for the last 8 years and couldnt be happier with the website and service: the prices are lower than most other hotel websites and the page is easy to navigate. The page layout is extremely important if someone wants to such a large number of hotels and doesnt have too much time on their hands.
NONE	F	i ordered for the first time a month or so ago. i ordered two dresses and three tops. i returned both the dresses and one of the tops. these three items had a total of 55 pounds but i was only refunded 48. I do not know why 7 pounds was deducted and this is unacceptable.
NONE	M	Did not receive my items from a seller, pay pal would not refund the money. They said the seller provided a shipping/tracking # only half the order was in this box. Pay Pal Sucks
NONE	M	Fast and convenient.
NONE	M	I buy some toners to printer and I buy it again in hunt office.
NONE	M	test
